tourney_date,surface,tourney_level,round,winner_id,winner_name,winner_hand,winner_age,winner_height,winner_rank,winner_rank_points,winner_recent_wins,loser_id,loser_name,loser_hand,loser_age,loser_height,loser_rank,loser_rank_points,loser_recent_wins,winner_hard_exp,winner_clay_exp,winner_grass_exp,loser_hard_exp,loser_clay_exp,loser_grass_exp,rank_points_ratio,h2h_wins
2000-02-04,Clay,D,RR,101532,Francisco Clavet,L,31.3,183.0,38.0,914.0,3,101947,Vincenzo Santopadre,L,28.5,183.0,169.0,221.0,0,3,0,0,0,0,0,4.135746606334842,1
2000-02-04,Clay,D,RR,102247,Andrea Gaudenzi,R,26.5,183.0,90.0,444.0,0,102610,Albert Costa,R,24.6,180.0,18.0,1261.0,2,0,0,0,2,0,0,0.352101506740682,2
2000-02-04,Clay,D,RR,102374,Alex Corretja,R,25.8,180.0,32.0,1002.0,4,102247,Andrea Gaudenzi,R,26.5,183.0,90.0,444.0,1,4,0,0,1,0,0,2.256756756756757,3
2000-02-04,Clay,D,RR,102610,Albert Costa,R,24.6,180.0,18.0,1261.0,0,102106,Davide Sanguinetti,R,27.4,188.0,112.0,351.0,2,0,0,0,2,0,0,3.592592592592593,1
2000-02-04,Clay,D,RR,102740,Francisco Rodriguez,R,23.9,0.0,0.0,0.0,0,108812,Jose Baires,U,20.2,0.0,1162.0,2.0,0,0,0,0,0,0,0,0.0,1
2000-02-04,Clay,D,RR,102830,Paulo Carvallo,R,23.6,0.0,461.0,50.0,0,101825,Manuel Tejada,R,29.2,0.0,0.0,0.0,0,0,1,0,0,1,0,0.0,1
2000-02-04,Clay,D,RR,102830,Paulo Carvallo,R,23.6,0.0,461.0,50.0,0,102283,Yari Bernardo,R,26.2,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1
2000-02-04,Clay,D,RR,102740,Francisco Rodriguez,R,23.9,0.0,0.0,0.0,0,101825,Manuel Tejada,R,29.2,0.0,0.0,0.0,0,0,1,0,0,0,0,0.0,1
2000-02-04,Clay,D,RR,102539,Bohdan Ulihrach,R,24.9,188.0,138.0,273.0,0,102965,Jamie Delgado,R,22.9,178.0,139.0,272.0,2,0,0,0,2,1,0,1.0036764705882353,1
2000-02-04,Clay,D,RR,101897,Fernando Meligeni,L,28.8,180.0,31.0,1015.0,0,101611,Cedric Pioline,R,30.6,188.0,14.0,1443.0,3,0,0,0,3,0,0,0.7033957033957033,1
2000-02-04,Clay,D,RR,103525,Ivan Miranda,R,19.9,175.0,756.0,13.0,0,108661,Dentry Mortimer,U,17.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1
2000-02-04,Clay,D,RR,103632,Luis Horna,R,19.4,180.0,186.0,191.0,0,102076,Mark Merklein,R,27.6,188.0,897.0,7.0,0,0,0,0,0,0,0,20.0,2
